"id","text","author"
"id19925","With how deep a spirit of wonder and perplexity was I wont to regard him from our remote pew in the gallery, as, with step solemn and slow, he ascended the pulpit This reverend man, with countenance so demurely benign, with robes so glossy and so clerically flowing, with wig so minutely powdered, so rigid and so vast, could this be he who, of late, with sour visage, and in snuffy habiliments, administered, ferule in hand, the Draconian laws of the academy?","EAP"
"id01704","These bizarre attempts at explanation were followed by others equally bizarre.","EAP"
"id10125","For many prodigies and signs had taken place, and far and wide, over sea and land, the black wings of the Pestilence were spread abroad.","EAP"
"id02448","All that as yet can fairly be said to be known is, that 'Pure gold can be made at will, and very readily from lead in connection with certain other substances, in kind and in proportions, unknown.' Speculation, of course, is busy as to the immediate and ultimate results of this discovery a discovery which few thinking persons will hesitate in referring to an increased interest in the matter of gold generally, by the late developments in California; and this reflection brings us inevitably to another the exceeding inopportuneness of Von Kempelen's analysis.","EAP"
"id23451","I seemed to be upon the verge of comprehension without power to comprehend men, at times, find themselves upon the brink of remembrance without being able, in the end, to remember.","EAP"
"id27907","Our compasses, depth gauges, and other delicate instruments were ruined; so that henceforth our only reckoning would be guesswork, based on our watches, the calendar, and our apparent drift as judged by any objects we might spy through the portholes or from the conning tower.","HPL"
"id08121","This the young warriors took back with them to Sarnath as a symbol of conquest over the old gods and beings of Ib, and a sign of leadership in Mnar.","HPL"
"id15222","Meantime the whole Paradise of Arnheim bursts upon the view.","EAP"
"id00764","I was rich and young, and had a guardian appointed for me; and all about me would act as if I were one of their great society, while I must keep the secret that I really was cut off from them for ever.","MWS"
"id00683","We could make out little by the dim light, but they seemed to contain prophecies, detailed relations of events but lately passed; names, now well known, but of modern date; and often exclamations of exultation or woe, of victory or defeat, were traced on their thin scant pages.","MWS"
"id11733","Even now They talked in Their tombs.","HPL"
"id13437","This was free only from the elbow to the hand.","EAP"
"id12414","He exhibited a model of his invention at the Polytechnic Institution.","EAP"
"id10485","A gentleman, with his wife and daughter, engaged, about dusk, the services of six young men, who were idly rowing a boat to and fro near the banks of the Seine, to convey him across the river.","EAP"
"id26818","Against all attacks upon his purse he made the most sturdy defence; but the amount extorted from him, at last, was generally in direct ratio with the length of the siege and the stubbornness of the resistance.","EAP"
"id20426","""In this I am not sure that you are wrong,"" observed Dr. Templeton, ""but proceed.","EAP"
"id24645","September th, the ice began to move, and roarings like thunder were heard at a distance as the islands split and cracked in every direction.","MWS"
"id27133","From that time till his rescue on the th the man remembers little, and he does not even recall when William Briden, his companion, died.","HPL"
"id20953","In the meantime, Argyropylo, the Greek commander in chief, had advanced, so as to be between the Turks and Rodosto; a battle, it was said, was inevitable.","MWS"
"id02149","When Professor Angell became convinced that the sculptor was indeed ignorant of any cult or system of cryptic lore, he besieged his visitor with demands for future reports of dreams.","HPL"
"id23408","Swooning, I staggered to the opposite wall.","EAP"
"id12337","The scarabæus hung quite clear of any branches, and, if allowed to fall, would have fallen at our feet.","EAP"
"id12212","Reason came unavailing to such high wrought feelings.","MWS"
"id24468","In , after the death of his mother, Sir Arthur Jermyn determined to pursue his investigations to the utmost extent.","HPL"
"id06687","Who is that secret lover, I ask, of whom, at least, most of the relatives know nothing?","EAP"
"id12259","Often at night Iranon sang to the revellers, but he was always as before, crowned only with the vine of the mountains and remembering the marble streets of Aira and the hyaline Nithra.","HPL"
"id18853","His father was a narrow minded trader and saw idleness and ruin in the aspirations and ambition of his son.","MWS"
"id25943","The sun might shine or the clouds might lower, but nothing could appear to me as it had done the day before.","MWS"
"id10110","A larger man guided his steps; a repellent hulk whose bluish face seemed half eaten away by some unknown malady.","HPL"
"id26957","Have those gentle eyes, those ""channels of the soul"" lost their meaning, or do they only in their glare disclose the horrible tale of its aberrations?","MWS"
"id17022","I asked myself the question aloud, and the whispering echoes of the chamber answered me, ""what was it?""","EAP"
"id24911","Without warning came those deep, cracked, raucous vocal sounds which will never leave the memory of the stricken group who heard them.","HPL"
"id10297","Because I am Protector of England, am I to be the only slave in its empire?","MWS"
"id24233","And what pretty scheme have you woven of exile and obscurity, while a brighter web, a gold enwoven tissue, is that which, in truth, you ought to contemplate?""","MWS"
"id09917","""The salt"" I ejaculated.","EAP"
"id19342","We past down the steep hill, and entered the dusky avenue of the Long Walk.","MWS"
"id01950","It was still gruesomely dark when, not much over an hour later, a confused babel of voices sounded down the road.","HPL"
"id27909","The fanged, furry thing began tittering a continuation of the unknown ritual, while the witch croaked loathsome responses.","HPL"
"id02171","I need not go over the details of Von Kempelen's confession as far as it went and release, for these are familiar to the public.","EAP"
"id08145","And what, Margaret, will be the state of your mind?","MWS"
"id15095","The Alps here come closer to the lake, and we approached the amphitheatre of mountains which forms its eastern boundary.","MWS"
"id12534","I was like a wild beast that had broken the toils, destroying the objects that obstructed me and ranging through the wood with a stag like swiftness.","MWS"
"id00483","I was possessed by a maddening rage when I thought of him, and desired and ardently prayed that I might have him within my grasp to wreak a great and signal revenge on his cursed head.","MWS"
"id08823","""While I was busied in reflection, my eyes fell upon a narrow ledge in the eastern face of the rock, perhaps a yard below the summit upon which I stood.","EAP"
"id02614","In these excursions he was usually accompanied by an old negro, called Jupiter, who had been manumitted before the reverses of the family, but who could be induced, neither by threats nor by promises, to abandon what he considered his right of attendance upon the footsteps of his young ""Massa Will.""","EAP"
"id21469","Then there was another our first whose exact fate we had never learned.","HPL"
"id20295","Hark here comes a troop of a similar description.","EAP"
"id15945","Drowsiness is so stifling, and dreams are so horrible. . . .","HPL"
"id08941","There were lights inside the house when I came upon it, and I saw from the diamond window panes that it must have been kept very close to its antique state.","HPL"
"id14378","I looked; and a numbness, an iciness of feeling instantly pervaded my frame.","EAP"
"id21303","The Horror from the Shadows Many men have related hideous things, not mentioned in print, which happened on the battlefields of the Great War.","HPL"
"id18473","Suddenly that face became dim and quickly disappeared, and in a brief space I found myself projected against an obstacle which I could not penetrate.","HPL"
"id07984","Please to write 'Und sterb'ich doch, no sterb'ich denn Durch sie durch sie' ""That's German from Schiller.","EAP"
"id17833","Then I would loaf near the fire station in apparent casualness, and fall in with old Zadok after he had started on one of his frequent rambles.","HPL"
"id26347","Superfluities in height were, however, more than accounted for by deficiencies in other respects.","EAP"
"id18445","Oh, save me Save me"" I imagined that the monster seized me; I struggled furiously and fell down in a fit.","MWS"
"id06751","The victim had been seen alive considerably after midnight the dawn revealed the unutterable thing.","HPL"
"id14169","Her tone expressed her entire indifference; she addressed me in English, and the voice struck me as one that I had heard during my sufferings.","MWS"
"id18585","In his heart he wished for nothing more ardently than our union.","EAP"
"id05464","Every one has been to the city of Edinburgh.","EAP"
"id01105","Any time the next morning you can call at the watch house and swear an assault.""","EAP"
"id19966","What we wanted were corpses interred soon after death and without artificial preservation; preferably free from malforming disease, and certainly with all organs present.","HPL"
"id08602","There one might find the rotting, bald pates of famous noblemen, and the fresh and radiantly golden heads of new buried children.","HPL"
"id27455","To me this proceeding appeared if so light a term may be permitted extremely whimsical.","MWS"
"id05860","That idol, enshrined in the high temple at Ilarnek, was subsequently worshipped beneath the gibbous moon throughout the land of Mnar.","HPL"
"id15528","I had begun my journey with anxious haste; now I desired to draw it out through the course of days and months.","MWS"
"id23202","""And were she,"" said Raymond, ""I would not advise her seeing him.","MWS"
"id05793","West's head was carried off by the wax headed leader, who wore a Canadian officer's uniform.","HPL"
"id08570","But these smaller and separate tragedies were about to yield to a mightier interest and, while we were promised calm from infectious influences, a tempest arose wilder than the winds, a tempest bred by the passions of man, nourished by his most violent impulses, unexampled and dire.","MWS"
"id10638","Moreover, my dungeon, as well as all the condemned cells at Toledo, had stone floors, and light was not altogether excluded.","EAP"
"id17841","But it must be borne in mind that the form of the moon's orbit being an ellipse of eccentricity amounting to no less than . of the major semi axis of the ellipse itself, and the earth's centre being situated in its focus, if I could, in any manner, contrive to meet the moon, as it were, in its perigee, the above mentioned distance would be materially diminished.","EAP"
"id03796","The blackness of eternal night encompassed me.","EAP"
"id25895","I grew, day by day, more moody, more irritable, more regardless of the feelings of others.","EAP"
"id13039","And all the while there was a personal sensation of choking, as if some pervasive presence had spread itself through his body and sought to possess itself of his vital processes.","HPL"
"id15453","This work was not known to the fashionable clientele who had so swiftly built up his fame after his arrival in Boston; but was only too well known to me, who had been his closest friend and sole assistant since the old days in Miskatonic University Medical School at Arkham.","HPL"
"id25765","It was a peaceful Arcadian scene, but knowing what it hid I hated it.","HPL"
