text	predictions_lgr	ytest	predictions_author	true_author
That clash of the titans centres on whether Time Warner, the second largest U.S. cable operator, will carry News Corp's 24-hour Fox News Service in New York City. Fox is a major rival to CNN, now part of Time Warner following a recent merger. ($1=.6141 Pound)	4	21	\BernardHickey	\KeithWeir
It said it would also consider backing Manchester council's bid for 20 million pound in funding for a new swimming and diving complex in the city, another Games facility	4	21	\BernardHickey	\KeithWeir
The group's George V property development arm aims to be profitable from 1997, he said	2	38	\AlexanderSmith	\PierreTran
The group's George V property development arm aims to be profitable from 1997, he said	2	38	\AlexanderSmith	\PierreTran
"""Sometimes there was a catch-up effect but there were also excesses and abnormal situations.""But CGE noted in a statement that the report said the main reason for rising water prices was higher quality and increasing investment needs"	32	38	\MatthewBunce	\PierreTran
"""Sometimes there was a catch-up effect but there were also excesses and abnormal situations.""Lyonnaise officials were not available for comment. But CGE noted in a statement that the report said the main reason for rising water prices was higher quality and increasing investment needs"	32	38	\MatthewBunce	\PierreTran
The Eurotunnel official coordinating the clearance, Dominique Dorso, said three wagons remained where the fire started, in section five of the tunnel. One was being removed Tuesday evening and the other two should be taken out next week	8	38	\EdnaFernandes	\PierreTran
Richard Branson, head of the London &amp; Continental Railways (LCR) group which runs the Eurostar high-speed train concession, has forecast it will hit six million passengers in the financial year 1996/97 and 10 million in 18 months	8	38	\EdnaFernandes	\PierreTran
The Eurostar high-speed passenger train and Le Shuttle car and passenger services have been halted ever since, although a limited freight service has resumed	8	38	\EdnaFernandes	\PierreTran
But analysts said the two-part sale made good sense	8	38	\EdnaFernandes	\PierreTran
"Pooling by rivals such as P&amp;O and Stena would lead to ""a reduction in direct competition"" for Eurotunnel, while the loss of duty-free sales, representing 250 million sterling of soft subsidies for the ferries, would push ferry firms to raise ticket prices"	8	38	\EdnaFernandes	\PierreTran
Without such a treaty, each route and landing rights have to be negotiated on a case-by-case basis, whereas Washington would like a global, market-driven solution	34	38	\MureDickie	\PierreTran
The restructuring agreement with its bank lenders requires a two-thirds majority at an extraordinary meeting of shareholders expected to be held by March	17	38	\JoeOrtiz	\PierreTran
"""We support the management,"" Cambier says, adding that he does not want to change the board. He spends perhaps five percent of his time on Eurotunnel and the rest managing client funds"	17	38	\JoeOrtiz	\PierreTran
The headline figures will likely be flattered by the fact that Eurotunnel did not have all its services running a year ago, said Jeff Summers, head of research at debt specialist Klesch and Co in London	17	38	\JoeOrtiz	\PierreTran
The disposal follows a sharp rise in the Paris bourse in recent weeks and, specifically of oil stocks which have benefited from high world oil prices	28	38	\LynnleyBrowning	\PierreTran
But so far, no timetable or partners have emerged	28	38	\LynnleyBrowning	\PierreTran
But the complex sale details mean any decision will only be made in the beginning of 1997, government officials said	18	38	\JohnMastrini	\PierreTran
Schneider has expanded its operations in China, increasing the number of employees to 2,500 from 200 five years ago	3	38	\BenjaminKangLim	\PierreTran
The fire was so intense in one 30-metre stretch that no visible traces of the trucks themselves remained in the Shuttle wagons, which were themselves reduced to blackened and twisted steel lattice frames	44	38	\SimonCowell	\PierreTran
In the high-capacity long haul market it is planning to launch the A3XX, which would break the stranglehold on the lucrative top-end of the market now held by Boeing's 747 jumbo jet	31	38	\MartinWolk	\PierreTran
"""You have to be very careful when people are running around at air shows talking about gross order books because gross orders aren't what you can bill,"" he said. ""Essentially a third of the Boeing order book has been cancelled this year.""Airbus, with 13 cancellations, has so far had 221 net orders this year, putting it ahead of the Seattle-based firm, he said"	31	38	\MartinWolk	\PierreTran
"But Pierson said the merger was inevitable. ""The Boeing-McDonnell merger will go ahead,"" he said"	31	38	\MartinWolk	\PierreTran
"In the long term, the Boeing merger ""will pose a problem for Europe's civil aviation industry,"" he said, adding there would effects in military markets, particularly helicopters"	31	38	\MartinWolk	\PierreTran
"""You cannot go from one thing to the next overnight. Marketing is a business in its own right. Managing factories, manufacturing, people is something else,"" a French industry executive said"	29	38	\MarcelMichelson	\PierreTran
A number of possibilities have emerged for Thomson-CSF since the Privatisation Commission derailed the sale process	29	38	\MarcelMichelson	\PierreTran
Although both Bouygues and Generale des Eaux currently run mobile telephone businesses, their ambitions run higher. They want a major slice of the profitable long-distance call market and the high-value business networks	29	38	\MarcelMichelson	\PierreTran
"The report said it was only after the government declared its preference last Wednesday for Lagardere's bid over a rival offer from Alcatel Alsthom that authorities realised ""the value of the gift it (the state) was making to Daewoo.""A Thomson-CSF spokesman declined to comment on the report of a ""white knight"" bidder"	29	38	\MarcelMichelson	\PierreTran
Messier also announced Generale des Eaux had made a formal bid on Monday with its German partner Mannesmann AG to run the telecommunications operations of French state railways SNCF. The two companies want to bring British Telecom to join the bid	29	38	\MarcelMichelson	\PierreTran
Construction group Bouygues has emerged as the latest contender in the French telecommunications arena with its joint bid with Italy's STET to run the telephone network of rail operator SNCFBouygues follows the larger Cie Generale des Eaux, which last month announced blue chip partners for its Cegetel telecoms unit, and the state-owned RATP Paris Metro operator which set up a unit to exploit its 300 kilometres of track	29	38	\MarcelMichelson	\PierreTran
The decision, announced by the finance ministry, makes the sale process slower than if it had been carried out under another 1991 privatisation decree	29	38	\MarcelMichelson	\PierreTran
Any decision will go to Prime Minister Alain Juppe for ratification, the transport ministry spokeswoman said	29	38	\MarcelMichelson	\PierreTran
The chairman of the South Korean company, Bae Soon-Hoon, has said he is ready to invest $1.5 billion in France and create 5,000 new jobs if he wins Multimedia	29	38	\MarcelMichelson	\PierreTran
Jospin said French President Jacques Chirac and Prime Minister Alain Juppe were allowing the sale of Thomson Multimedia to Daewoo, which would reap the benefits of French state financing for the group's digital technology	29	38	\MarcelMichelson	\PierreTran
"""However, Air France has requested increased services over last winter,"" she said"	29	38	\MarcelMichelson	\PierreTran
The court said that as Thomson-CSF constitutes an essential part of the assets of Thomson SA, the sale should be seen as a means of privatising the parent company, the finance ministry said in a statement	29	38	\MarcelMichelson	\PierreTran
"The deal will ""indisputably strengthen the missiles activity in France and particularly Europe,"" said Jean-Marc Baron, a partner specialising in defence at consultants KPMG Peat Marwick. ""The merger wil create a critical mass,"" he added"	29	38	\MarcelMichelson	\PierreTran
Messier also announced Generale des Eaux said it had made a formal bid on Monday with its German partner Mannesmann to run the telecommunications operations of French state railways SNCF. The two companies want to bring British Telecom to join the bid	29	38	\MarcelMichelson	\PierreTran
Air France already flies the A340, which is a long-range, wide-body aircraft. ($1=5.086 French Franc)	29	38	\MarcelMichelson	\PierreTran
"""We are not hostile to a foreign company taking control of Thomson Multimedia as it follows an industrial and economic logic,"" a spokesman for the Thomson-CSF association of employee shareholders said"	29	38	\MarcelMichelson	\PierreTran
($1=5.199 French Franc)	29	38	\MarcelMichelson	\PierreTran
"""Our objective is to have a net return on capital, before amortisation of goodwill, of 15 percent...in three years,"" he said in an interview. ""It's a reasonable plan.""That compared to just over eight percent in 1995, he said. The improvement will come from pruning down Schneider to core electrical activities and an internal re-engineering programme"	20	38	\KarlPenhaul	\PierreTran
"""It's clear there is extremely strong political pressure,"" head of the SNPL pilots union Geoffrey Bouvet said on Friday"	20	38	\KarlPenhaul	\PierreTran
CGIP wants Valeo to adopt a more generous dividend policy, pursue acquisitions more aggresively and use debt financing to leverage its financial results	39	38	\RobinSidel	\PierreTran
"""There is no reason for us to put into question the restructuring,"" he told reporters"	49	38	\WilliamKazer	\PierreTran
The Eurostar high-speed passenger train and Le Shuttle car and passenger services have been halted, although a limited freight service has resumed	49	38	\WilliamKazer	\PierreTran
One analyst said the new accounting methods would not be used for interest rate swaps for long-term holdings	38	10	\PierreTran	\FumikoFujisaki
Nomura said it would post a net loss for the first half because of the special loss, but declined to give an earnings forecast for the half-year and the full year	38	10	\PierreTran	\FumikoFujisaki
This squeeze on the struggling players in the banking sector could cause more financial collapses and forced liquidations down the road, analysts and banking sources say	2	10	\AlexanderSmith	\FumikoFujisaki
"Panel chairman Koichi Minaguchi told a news conference that he wanted to ensure that the panel's efforts would not be a ""total waste of energy"""	2	10	\AlexanderSmith	\FumikoFujisaki
Emergency intervention measures to curb land prices adopted in 1991 are no longer needed as they are still falling, it said	14	10	\JaneMacartney	\FumikoFujisaki
"""Some of them tried to criticise and pressure us, but we decided to help revitalise the market by taking the steps as long as they meet the rules,"" a Matsui statement said"	45	10	\TanEeLyn	\FumikoFujisaki
If the bill passes next year, the ban would be relaxed by October 1997 at the earliest	37	10	\PeterHumphrey	\FumikoFujisaki
The committee is expected to make proposals next June	37	10	\PeterHumphrey	\FumikoFujisaki
"""It may take one or two months from now before discussions of individual issues start,"" he added"	32	10	\MatthewBunce	\FumikoFujisaki
"""Our strategy is to earn commissions by offering something value-added... We plan to differentiate our service by offering better information,"" an Ichiyoshi spokesman told Reuters"	32	10	\MatthewBunce	\FumikoFujisaki
But a weak stock market raises the chances of institutions flunking the capital adequacy test, as it makes it hard for them to raise capital by issuing new shares	41	10	\SamuelPerry	\FumikoFujisaki
One bright factor which may emerge is a move within parliament by some opposition politicians calling for the use of fresh public money to deal with problem loan issue, analysts and brokers said	35	10	\NickLouth	\FumikoFujisaki
"""We are trying to separate trading accounts from non-trading accounts based on business units,"" he said"	8	10	\EdnaFernandes	\FumikoFujisaki
The broker did not issue a profit forecast	13	10	\JanLopatka	\FumikoFujisaki
The search for a solution is complicated by the fact that the non-banks are part of a web of lending, having borrowed from more than 100 creditors including financially weak agricultural credit unions	0	10	\AaronPressman	\FumikoFujisaki
In the bond market, NCB's latest debentures are selling at a yield of 4.1 percent, a full 2.5 percentage points above bonds issued by other banks, reflecting the perceived risk in its debts	17	10	\JoeOrtiz	\FumikoFujisaki
But the economists said Prime Minister Ryutaro Hashimoto's plans to liberalise the financial markets by 2001 and the proposed breakup of telecommunications giant Nippon Telegraph and Telephone Corp (NTT) mean the ban will likely be lifted	24	10	\KirstinRidley	\FumikoFujisaki
Lifting the ban is also needed to allow implementation of a plan unveiled late last year to restructure telecom giant Nippon Telegraph and Telephone Corp (NTT) into several companies under a holding-company umbrella	24	10	\KirstinRidley	\FumikoFujisaki
Analysts say it will take two more years on average for the top 20 banks to cut the loans to manageable levels, giving foreign banks further chances to to nudge into the market	11	10	\GrahamEarnshaw	\FumikoFujisaki
The government has also committed itself to meeting any potential shortfalls at the Resolution and Collection Bank with government funds	18	10	\JohnMastrini	\FumikoFujisaki
However, analysts say that there are several regional banks with a more urgent need to increase their capital	6	10	\DarrenSchuettler	\FumikoFujisaki
Several analysts expect more bank failures	6	10	\DarrenSchuettler	\FumikoFujisaki
One year after its dramatic expulsion from the United States, scandal-hit Daiwa Bank is finding its misfortune may in some ways have been a blessing in disguise, analysts say	6	10	\DarrenSchuettler	\FumikoFujisaki
Nomura's Vice President Atsushi Saito said there were no complaints from customers and shareholders about its decision to support the affiliate. Credit rating agencies have been positive about the decision as it shows a willingness to confront the problem, he said	48	10	\ToddNissen	\FumikoFujisaki
A Daiwa official agreed that the harm done by the bond-loss scandal was not as great as initially expected	3	10	\BenjaminKangLim	\FumikoFujisaki
The likely elimination of fixed commission rates on stockbroking was cited as one move likely to undermine profitability at many brokerages, it said	44	10	\SimonCowell	\FumikoFujisaki
The subcommittees on land, distribution and medicine presented proposals last week and the two on employment and medicine unveiled recommendations separately on Thursday, all of which called for sweeping reform in each field	44	10	\SimonCowell	\FumikoFujisaki
Current profits at Asian units were 1.5 billion yen ($13.3 million), slightly up from a year earlier, while those at subsidiaries in the American region totalled 6.4 billion yen ($57.1 million), little changed from a year earlier, he said	31	10	\MartinWolk	\FumikoFujisaki
On Friday, turnover on the exchange's first section was about 381 million shares, compared with a scant 225 million on Thursday. Daily turnover has averaged 300 million to 400 million in the past two years	5	10	\BradDorfman	\FumikoFujisaki
Last November, Daiwa Bank said it lost $1.1 billion in unauthorised bond trading at its now-closed New York office	5	10	\BradDorfman	\FumikoFujisaki
But financial companies are in a better position to take advantage of the change, some economists said	42	10	\SarahDavison	\FumikoFujisaki
The umbrella companies would also allow huge, inefficient corporate giants to split into several leaner operations	39	10	\RobinSidel	\FumikoFujisaki
Nippon Credit's latest ordeal began early Wednesday when traders began to sell its shares on vague talk that NCB would hold an emergency news conference. There was also a vague rumour about a possible merger involving NCB, they said	27	10	\LynneO'Donnell	\FumikoFujisaki
"""Big commercial and trust banks posted bigger operating profitS 1995/96 as they increased profits from interest rate swaps,"" she said"	4	10	\BernardHickey	\FumikoFujisaki
Despite its debt-free balance sheet, Barnes said the company had little interest in getting on the acquisition trail itself, preferring to buy in new products and technologies on a case-by-case basis	38	19	\PierreTran	\JonathanBirt
Supermarket group Budgens Plc said on Monday that it expected to open 10 new wholly-owned stores in 1997, as well as continuing to build up its presence on petrol station forecourts	14	19	\JaneMacartney	\JonathanBirt
"Sankey said the purchase of an insecticide business earlier this year with strength in China, the Middle East and Africa was a good example of this strategy and added that Reckitt had similar moves ""up our sleeves."" Asia, Latin America and ""conceivably Africa"" are favoured targets, he added"	32	19	\MatthewBunce	\JonathanBirt
"At a distinctly low-tech launch for the pathfinder prospectus, AEA Technology chief executive Peter Watson shrugged off the embarrassment of a malfunctioning slide projector to explain that the group ""is all about taking technology to market and converting science to profit.""Watson could easily have a sign on his desk reading ""no job is too big or too small"" for AEA Technology, whose interests have spread far beyond the state-owned nuclear industry which spawned it in the 1940s"	41	19	\SamuelPerry	\JonathanBirt
"""We continue to be interested in a partnership or alliance in the U.S. Others have two or three cancer products in a market dominated by Bristol-Myers Squibb, so it would make sense to ally ourselves,"" he said"	35	19	\NickLouth	\JonathanBirt
Imperial, which was demerged from conglomerate Hanson Plc last October, said it was paying 168 million pounds ($272.7 million) for Netherlands-based Rizla International BV, as well as acquiring 17 million pounds of Rizla's debt	8	19	\EdnaFernandes	\JonathanBirt
Courtaulds has built on its presence in Hong Kong, where it has been represented since the 1950s, to the point where it is involved in every major market in the region	30	19	\MarkBendeich	\JonathanBirt
The company, which is due to announce full-year results on March 4, told an analysts' meeting that little had changed from its last update in October, when it reported that operating conditions and price pressures in the key U.S. market remained difficult	24	19	\KirstinRidley	\JonathanBirt
Dominion stock gained 75 cents to $39.75 on the New York Stock Exchage	33	19	\MichaelConnor	\JonathanBirt
In its first nine months of operation in Britain last year Daewoo sold more than 13,000 cars. And by October 8 this year Rhie said it had already sold another 18,500 units	33	19	\MichaelConnor	\JonathanBirt
However, a UK brokerage analysts, who also declined to be identified, said that, beyond size, a merger with SmithKline would offer little in the way of attractions for Roche	16	19	\JoWinterbottom	\JonathanBirt
"SG Strauss Turnbull analyst Marshall Whiting said Dominion was being ""very cheeky.""Dominion's declaration of interest follows hard on the heels of CalEnergy Co Inc unit CE Electric's 630 pence offer for Northern last week"	16	19	\JoWinterbottom	\JonathanBirt
Industrial gases, which are used in industries as varied as foods, chemicals, metallurgy and water purification, saw operating profits rise nine percent to 408.3 million pounds on sales up 6.8 percent to 2.8 billion pounds	16	19	\JoWinterbottom	\JonathanBirt
Using median forecast figures gathered by Edinburgh Financial Publishing, CE Electric's offer represents a P/E ratio of 9.3 against Northern's prospective year through March 1997 earnings and 8.6 times year through March 1998 earnings	16	19	\JoWinterbottom	\JonathanBirt
East Midlands' share price leaped 70 1/2 pence to close at 608 pence on Wednesday, lifting the Nottingham-based group's value to more than 1.2 billion pounds, as rumour swirled around it	16	19	\JoWinterbottom	\JonathanBirt
East Midlands declined to comment on the Dominion statement	16	19	\JoWinterbottom	\JonathanBirt
On Wednesday Dominion's interest in East Midlands was flushed out by U.K. stock exchange regulators after East Midland's share price jumped by 13 percent	16	19	\JoWinterbottom	\JonathanBirt
It has also led a revolution in all-inclusive pricing, a trend followed this week by GM unit Vauxhall Motors and by Porsche AG with its new Boxster sports car	7	19	\DavidLawder	\JonathanBirt
Imperial said Rizla, which is based in Breda, would continue to be run as a separate division, with the existing management remaining in place	9	19	\EricAuchard	\JonathanBirt
Sankey said that the move was a clear signal to share markets that it had no major takeover target on the scale of L&amp;F in its sights	44	19	\SimonCowell	\JonathanBirt
Sales climbed seven percent to just over 4.0 billion pounds	44	19	\SimonCowell	\JonathanBirt
"""It is like a wedding, with the customer as the bride. Before, they say I love you, darling,' and all that, but after the marriage they forget,"" Rhie said"	23	19	\KevinMorrison	\JonathanBirt
"""In the U.S, sector-specific business incubators have been shown to have a positive and dramatic effect on the success rate and growth of start-up businesses,"" BIC said"	23	19	\KevinMorrison	\JonathanBirt
Milupa said it would hold a thorough investigation at the French plant where the milk was made, and added that production of the product had been suspended	29	19	\MarcelMichelson	\JonathanBirt
Milupa said it would hold a thorough investigation at the French plant where the milk was made, and added that production of the product had been suspended	29	19	\MarcelMichelson	\JonathanBirt
"""It's quick, it's easy and I think people will find it fun,"" said ICI Decorative Paints international marketing director Chris Harris"	42	19	\SarahDavison	\JonathanBirt
The strategy would enable the company to keep a higher percentage of profits from drug sales than if it introduced a partner early on, but will also increase its costs	47	19	\TimFarrand	\JonathanBirt
Budgens saw sales rise by 8.1 percent to 183.0 million stg in the 28 weeks to November, while on a like-for-like basis they climbed 4.5 percent	47	19	\TimFarrand	\JonathanBirt
However the name of any likely bidder remained a mystery	4	19	\BernardHickey	\JonathanBirt
They said there were also signs that profit margins could have turned out better in the second half of the year than the first	4	19	\BernardHickey	\JonathanBirt
Phillips said he was considering raising his profit per share forecast from eight francs to 8.5 francs	38	29	\PierreTran	\MarcelMichelson
MEDEA, which will be based in Paris, will coordinate industry research programmes in six main areas. Three of them, getting half of the funds, are applications in the areas of multimedia, communications, and automobile and traffic systems	38	29	\PierreTran	\MarcelMichelson
The government did not spell out exactly how it had reached the choice, but its statement stressed the importance of a merger between Lagardere's Matra and Thomson's majority-owned defence unit Thomson-CSF	38	29	\PierreTran	\MarcelMichelson
Shares rose from 122.3 francs in May to 136 on June 18 on initial speculation and then fell back to 120.8 on July 24. They have resumed their rise to 131 francs, but this is still below the institutional privatisation price of 146 francs in November 1993 and a price for individuals of 135 francs	38	29	\PierreTran	\MarcelMichelson
And during the first three months of the year the future telecommunications operators will apply for their licences in order to be ready for competition in 1998	38	29	\PierreTran	\MarcelMichelson
"A spokesman for the ministry said that ""in the next few days"" licences would be granted to MFS Communication Co of the U.S. and Colt Telecom Group of Britain, owned by financial group Fidelity Investments"	2	29	\AlexanderSmith	\MarcelMichelson
Olympic Sports applied for court mediation with creditors on September 20 with debts of 34.83 billion yen and the Japan Securities Dealers Association (JSDA) cancelled the company's Over-the-Counter registration	10	29	\FumikoFujisaki	\MarcelMichelson
She declined to give many details ahead of an official launch of the programme by Jet Multimedia's founding chairman Eric Peyre on December 12	14	29	\JaneMacartney	\MarcelMichelson
Salomon had earlier forecast that its operating results for the 1996/97 year would be stable due to the cost of further diversification into snowboards with the aqcuisiion of Bonfire and the planned launch of new boards, shoes and fixtures in 1997 as well as new roller skates in 1998	8	29	\EdnaFernandes	\MarcelMichelson
Other analysts are less sure	40	29	\RogerFillion	\MarcelMichelson
Shares in French sports equipment maker Groupe Salomon SA fell sharply for the second day in a row on Thursday after a long and steady rise which saw the share more than double in value this year	1	29	\AlanCrosby	\MarcelMichelson
"""It's too early to talk about the details of the Chinese deal, we are still in discussions. It can still take some time before we have a contract,"" Campbell McGarvie, vice-president Europe, Africa and Midle East, said in an interview"	17	29	\JoeOrtiz	\MarcelMichelson
A third offer is by the Unisource consortium of Dutch KPN, Telia AB of Sweden, Swiss Telecom PTT and Spain's Telefonica	24	29	\KirstinRidley	\MarcelMichelson
"He also maintained his ""hold"" rating for the shares because they were ""fairly valued"". He said the company was an attractive long-term investment"	11	29	\GrahamEarnshaw	\MarcelMichelson
The former long-time head of Britain's General Electric Plc said in a newspaper interview on Wednesday the group was ready to deal with whoever won ownership of state-owned Thomson SA	33	29	\MichaelConnor	\MarcelMichelson
Analysts were mixed on the Rhone-Poulenc SA third quarter results and some said they might raise full-year forecasts while others left forecasts unchanged	16	29	\JoWinterbottom	\MarcelMichelson
But brokers Lehman Brothers said Taxotere and Rilutek were taking off slowly. It downgraded the share to neutral from outperform, after a good recent run	21	29	\KeithWeir	\MarcelMichelson
"In the medical imaging and video market, StorageTek sees a lot of opportunities but for the moment it has not yet signed big deals. ""We are in discussions for some deals which could be concluded next year,"" French marketing manager Eric Debray said"	28	29	\LynnleyBrowning	\MarcelMichelson
Sources close to the government said that the decision, prepared in close consultation with President Jacques Chirac, could be announced late on Monday, or at the latest on Wednesday after a cabinet meeting	9	29	\EricAuchard	\MarcelMichelson
But the way to the finish line is not without obstacles	3	29	\BenjaminKangLim	\MarcelMichelson
But the way to the finishing line is not without obstacles	3	29	\BenjaminKangLim	\MarcelMichelson
"""French carmakers have a record of trying to adapt to the market conditions without resorting to mass lay-offs, like for instance our German neighbours have done,"" the spokesman said"	44	29	\SimonCowell	\MarcelMichelson
