	text	predictions_nb	ytest	predictions_author	true_author
117	Analysts are speculating on a price of $40 a share -- valuing MCI at $28 billion and leaving BT with a bill of about $22.1 billion to pay for the remaining 80 percent of MCI	35	21	\NickLouth	\KeithWeir
118	British Telecom's stock jumped in London and New York, where its American shares rose $5.375 to $60.875 on the New York Stock Exchange in afternoon trading	35	21	\NickLouth	\KeithWeir
119	However, analysts regard the British market as broadly open to competition	35	21	\NickLouth	\KeithWeir
120	The $22 billion takeover of MCI Communications Corp marks a spectacular end to Sir Peter Bonfield's first year as chief executive of British Telecommunications Plc	35	21	\NickLouth	\KeithWeir
121	For customers, the deal promises better service and lower international calling charges, while for businesses it means a company that can support them wherever they are	35	21	\NickLouth	\KeithWeir
122	It will cause sleepless nights for rivals such as AT&amp;T, Sprint Corp., France Telecom and Deutsche Telekom as they weigh how to respond. Sprint is allied with the French and German companies in the Global One international venture while AT&amp;T is part of a network of alliances called World Partners	35	21	\NickLouth	\KeithWeir
123	It could use its financial muscle to make the cash-strapped BBC an offer which the corporation would find hard to refuse	35	21	\NickLouth	\KeithWeir
124	A $22 billion takeover of MCI Communciations Corp would mark a spectacular end to Sir Peter Bonfield's first year as chief executive of British Telecommunications Plc	35	21	\NickLouth	\KeithWeir
125	The deal would be the biggest yet in the rapidly changing telecommunications market and the second largest involving a U.S. company -- topped only by the buyout of RJR Nabisco by Kohlberg Kravis Roberts &amp; Co	35	21	\NickLouth	\KeithWeir
126	The deal would be the second largest involving a U.S. company -- topped only by the buyout of RJR Nabisco by Kohlberg Kravis Roberts &amp; Co	35	21	\NickLouth	\KeithWeir
127	BT and MCI have both said there are no assurances that an agreement will be reached or that any transaction will be consummated. They have said a further announcement is anticipated before the London stock market opens on Monday	35	21	\NickLouth	\KeithWeir
128	Blenheim shares closed 6 1/2p lower at 477 1/2p on Monday	26	21	\LydiaZajc	\KeithWeir
129	Operating revenues for the three months to September 30 increased to 266 million pounds, a rise of 24 percent on a year earlier. Earnings per share were 3.9 pence, 30 percent up	47	21	\TimFarrand	\KeithWeir
130	Some 10 percent of the share issue will be made available to club employees and fans rather than institutional investors. The flotation is expected to value the club as a whole at 40-50 million pounds and share dealings will commence on December 24	17	21	\JoeOrtiz	\KeithWeir
131	Britain's Press Association quoted Edwards as saying that any proposals would be given serious consideration	17	21	\JoeOrtiz	\KeithWeir
132	-- London Newsroom +44 171 542 7717	15	21	\JimGilchrist	\KeithWeir
133	"""Over the past year, people have become far more discerning about the type of hotel business they become involved in. But that does not mean they are reluctant to invest in the sector,"" said Greg Feehley of Kleinwort Benson"	11	21	\GrahamEarnshaw	\KeithWeir
134	Channel 4, set up in 1982 with a brief to transmit innovative and minority programming, is a statutory, state-controlled, corporation funded by advertising	33	21	\MichaelConnor	\KeithWeir
135	That clash of the titans centres on whether Time Warner, the second largest U.S. cable operator, will carry News Corp's 24-hour Fox News Service in New York City. Fox is a major rival to CNN, now part of Time Warner following a recent merger. ($1=.6141 Pound)	33	21	\MichaelConnor	\KeithWeir
136	American hotel companies ITT Sheraton and Marriott are reportedly among potential purchasers for the chain. A deal is expected to be concluded around the turn of the year	33	21	\MichaelConnor	\KeithWeir
137	But the market greeted her appointment with scepticism, with market players saying they knew little about her. The shares fell to a low of 668 pence, but later recovered to 678 for a loss of 10 pence	16	21	\JoWinterbottom	\KeithWeir
138	EMAP said that margins should improve as paper prices continue to decline. Proceeds from the sale of the regional newspaper business should lead to a significant reduction in interest charges	16	21	\JoWinterbottom	\KeithWeir
139	Pearson had dipped to a two-month low on Tuesday but bounced back after the company said trading in the second half of the current year was in line with the first half. The shares were 20 1/2p firmer at 710p by 095 GMT	16	21	\JoWinterbottom	\KeithWeir
140	United News shares added 31 pence to 674-1/2 pence after the announcement, while Blenheim gained 22-1/2 to 496	16	21	\JoWinterbottom	\KeithWeir
141	United News shares added 30 pence to 683-1/2 pence after the announcement, while Blenheim gained 23 to 496-1/2	16	21	\JoWinterbottom	\KeithWeir
142	The London daily Financial Times reported on Wednesday that the sale of the chains for more than 650 million pounds ($1 billion) could be completed within the next fortnight. There was no immediate comment from Lonrho on the report	16	21	\JoWinterbottom	\KeithWeir
143	But the smaller tour operators were delighted that the MMC was taking up the matter	24	21	\KirstinRidley	\KeithWeir
144	The proposal will create work aplenty for British, American and European regulators who will review the merger, which would create a $40 billion company serving 43 million business and residential customers in 70 countries	24	21	\KirstinRidley	\KeithWeir
145	Those talks ended unsuccessfully in May. But any MCI/BT deal would be bigger than that one that got away	24	21	\KirstinRidley	\KeithWeir
146	Its partner in Britain is Flextech Plc, while it is working with Discovery Communications Inc on channels for international markets. Leading U.S. cable television operator Tele-Communications Inc is a major shareholder in both companies. It aims to launch its UK services in mid 1997	24	21	\KirstinRidley	\KeithWeir
147	BT, the dominant player in the British market, has been building its overseas presence in recent years and already has a 20 percent stake in MCI. The two also operate a joint venture known as Concert which serves customers in more than 50 nations	24	21	\KirstinRidley	\KeithWeir
148	Its partner in Britain is Flextech Plc, while it is working with Discovery Communications Inc on channels for international markets. Leading U.S. cable television operator Tele-Communications Inc is a major shareholder in both companies. It aims to launch its UK services in mid 1997	24	21	\KirstinRidley	\KeithWeir
149	British conglomerate Lonrho, in the throes of a demerger, said last month it had received interest from potential buyers of the hotels and shelved plans to float them	24	21	\KirstinRidley	\KeithWeir
150	Glasgow-based Stakis Plc and Saudi billionaire Prince al-Waleed bin Talal are the likely purchasers of the Metropole and Princess hotel chains from Lonrho Plc, analysts said on Wednesday	24	21	\KirstinRidley	\KeithWeir
151	BT, the dominant player in the British market, has been building its overseas presence in recent years and already has a 20 percent stake in MCI. The two also operate a joint venture known as Concert which serves customers in more than 50 nations	24	21	\KirstinRidley	\KeithWeir
152	British Telecom Chief Executive Sir Peter Bonfield has said it could take a year for the deal to win regulatory approval	24	21	\KirstinRidley	\KeithWeir
153	He has also targeted Asia-Pacific as a region where BT needs to expand, hence the attempt to do a deal with Cable and Wireless, which is very strong there	24	21	\KirstinRidley	\KeithWeir
154	Stakis, which has some 46 British hotels, has refused to comment on reports it planned to buy the five Metropole properties. But the hotels and casino group remains the clear favourite to clinch a deal	24	21	\KirstinRidley	\KeithWeir
155	He has also targeted Asia-Pacific as a region where BT needs to expand, hence the attempt to do a deal with Cable and Wireless, which is very strong there	24	21	\KirstinRidley	\KeithWeir
156	"""I know this company has been broken up and put back together (by journalists and analysts) in all kinds of ways. I think I'm aware of all the possibilities.""There was more bad press on Thursday as the market questioned her qualifications"	44	21	\SimonCowell	\KeithWeir
157	Its film processing arm boosted profits to almost 53 million pounds -- a 27 percent jump -- as the Hollywood studios continued their policy of releasing movies to large numbers of cinemas simultaneously	44	21	\SimonCowell	\KeithWeir
158	"""You want us to do things. We want to do them. Now please give us the means and we can get on with the job,"" Will Wyatt, chief executive of the BBC Broadcast division said in a recent speech"	42	21	\SarahDavison	\KeithWeir
159	He began his career with Texas Instruments, working in the field of semiconductors and computers in Europe, the Far East and the United States. He became a divisional director of Texas based in the U.S. before joining ICL in the early 1980s	27	21	\LynneO'Donnell	\KeithWeir
160	He began his career with Texas Instruments, working in the field of semiconductors and computers in Europe, the Far East and the United States. He became a divisional director of Texas based in the U.S. before joining ICL in the early 1980s	27	21	\LynneO'Donnell	\KeithWeir
161	The company, in which Rupert Murdoch's News Corp is the leading shareholder, said that total paying subscribers had reached 5.65 million at 30 September, a net increase for the quarter of 146,000	4	21	\BernardHickey	\KeithWeir
162	"""The Austin Reed brand is well known in Europe, being a quintessentially British brand, and I think there are tremendous opportunities to expand that,"" Thomson said"	21	19	\KeithWeir	\JonathanBirt
163	Imperial said Rizla, which is based in Breda, would continue to be run as a separate division, with the existing management remaining in place	2	19	\AlexanderSmith	\JonathanBirt
164	Sankey said that the move was a clear signal to share markets that it had no major takeover target on the scale of L&amp;F in its sights	2	19	\AlexanderSmith	\JonathanBirt
165	A major surprise was Medeva's declaration that it would seek regulatory approval for Hepagene in Europe and the United States in 1998, opening up the prospect of first sales in 1999. Bogie said this was a sign of confidence that Medeva would win outstanding battles over patents on both sides of the Atlantic	38	19	\PierreTran	\JonathanBirt
166	"Sankey said the purchase of an insecticide business earlier this year with strength in China, the Middle East and Africa was a good example of this strategy and added that Reckitt had similar moves ""up our sleeves."" Asia, Latin America and ""conceivably Africa"" are favoured targets, he added"	23	19	\KevinMorrison	\JonathanBirt
167	"""In the U.S, sector-specific business incubators have been shown to have a positive and dramatic effect on the success rate and growth of start-up businesses,"" BIC said"	23	19	\KevinMorrison	\JonathanBirt
168	It will also add to Allied's technological base and provide new products to market through its existing 400-strong salesforce	46	19	\TheresePoletti	\JonathanBirt
169	It will also seek to swap non-core products with other companies and build up its base of early-stage products through links with universities and biotech companies	46	19	\TheresePoletti	\JonathanBirt
170	"""It is like a wedding, with the customer as the bride. Before, they say I love you, darling,' and all that, but after the marriage they forget,"" Rhie said"	35	19	\NickLouth	\JonathanBirt
171	"Rhie declined to state Daewoo's next target for U.K. market share. ""Quantity is very important but that is not the final goal,"" he said. ""Our aim is a customer focus and how to continuously follow up customers' requirements."""	35	19	\NickLouth	\JonathanBirt
238	Dominion stock gained 75 cents to $39.75 on the New York Stock Exchage	26	19	\LydiaZajc	\JonathanBirt
239	Budgens saw sales rise by 8.1 percent to 183.0 million stg in the 28 weeks to November, while on a like-for-like basis they climbed 4.5 percent	47	19	\TimFarrand	\JonathanBirt
240	Industrial gases, which are used in industries as varied as foods, chemicals, metallurgy and water purification, saw operating profits rise nine percent to 408.3 million pounds on sales up 6.8 percent to 2.8 billion pounds	47	19	\TimFarrand	\JonathanBirt
241	Last year, a stagnant car market saw the GM unit's profits slump to three million stg from 79 million in 1994. ($1=.6317 Pound)	47	19	\TimFarrand	\JonathanBirt
242	Third-quarter net earnings jumped by 22 percent to 650 million pounds ($1.07 billion), towards the top end of forecasts, while in the first nine months of the year they were up 28 percent to a record 1.93 billion pounds	47	19	\TimFarrand	\JonathanBirt
243	Bumper pharmaceutical sales will help to drive profits forward, with 1996 sales volumes likely to be ahead by around 14 percent year-on-year	47	19	\TimFarrand	\JonathanBirt
244	"Operating profits at the slimmed-down specialities business were likely to be above 1995 levels after ""a particularly strong second-half performance,"" Zeneca said"	47	19	\TimFarrand	\JonathanBirt
245	Analysts who attended Monday's meeting said Smith &amp; Nephew, which reported a 7.4 percent rise in first-half sales to 540 million stg, was likely to report an increase in full-year sales of between six and seven percent from the 1.03 billion stg achieved in 1995	47	19	\TimFarrand	\JonathanBirt
246	Despite its debt-free balance sheet, Barnes said the company had little interest in getting on the acquisition trail itself, preferring to buy in new products and technologies on a case-by-case basis	17	19	\JoeOrtiz	\JonathanBirt
247	--London Newsroom +44 171 542 7717	15	19	\JimGilchrist	\JonathanBirt
248	--London Newsroom +44 171 542 7717	15	19	\JimGilchrist	\JonathanBirt
249	-- Jonathan Birt London Newsroom +44 171 542 7717	15	19	\JimGilchrist	\JonathanBirt
250	Traders said sterling's sharp falls on the foreign exchanges overnight had been a major factor behind the gains, easing some of the anxiety over the effect of a strong pound on crucial overseas earnings	11	19	\GrahamEarnshaw	\JonathanBirt
251	However, a UK brokerage analysts, who also declined to be identified, said that, beyond size, a merger with SmithKline would offer little in the way of attractions for Roche	16	19	\JoWinterbottom	\JonathanBirt
252	"SG Strauss Turnbull analyst Marshall Whiting said Dominion was being ""very cheeky.""Dominion's declaration of interest follows hard on the heels of CalEnergy Co Inc unit CE Electric's 630 pence offer for Northern last week"	16	19	\JoWinterbottom	\JonathanBirt
253	Supermarket group Budgens Plc said on Monday that it expected to open 10 new wholly-owned stores in 1997, as well as continuing to build up its presence on petrol station forecourts	16	19	\JoWinterbottom	\JonathanBirt
254	The company, which is due to announce full-year results on March 4, told an analysts' meeting that little had changed from its last update in October, when it reported that operating conditions and price pressures in the key U.S. market remained difficult	16	19	\JoWinterbottom	\JonathanBirt
255	Using median forecast figures gathered by Edinburgh Financial Publishing, CE Electric's offer represents a P/E ratio of 9.3 against Northern's prospective year through March 1997 earnings and 8.6 times year through March 1998 earnings	16	19	\JoWinterbottom	\JonathanBirt
256	East Midlands' share price leaped 70 1/2 pence to close at 608 pence on Wednesday, lifting the Nottingham-based group's value to more than 1.2 billion pounds, as rumour swirled around it	16	19	\JoWinterbottom	\JonathanBirt
257	East Midlands declined to comment on the Dominion statement	16	19	\JoWinterbottom	\JonathanBirt
258	Rumours that another bid was about to claim one of the few remaining independent regional electricity companies in England and Wales sent their shares soaring	16	19	\JoWinterbottom	\JonathanBirt
259	Dominion Resources Inc of the United States ended a day of rampant speculation on Wednesday by declaring it was interested in bidding for British power supply company East Midlands Electricity Plc	16	19	\JoWinterbottom	\JonathanBirt
260	"The sources said East Midlands had already cut costs ""to the bone,"" adding that ""the comapny needs investment to grow again.""East Midlands declined to comment on the Dominion statement"	16	19	\JoWinterbottom	\JonathanBirt
261	On Wednesday Dominion's interest in East Midlands was flushed out by U.K. stock exchange regulators after East Midland's share price jumped by 13 percent	16	19	\JoWinterbottom	\JonathanBirt
262	Vauxhall Motors chairman and managing director Nick Reilly said in an interview that a possible decision on increasing the number of shifts at the plant to three from two could create hundreds more jobs	7	19	\DavidLawder	\JonathanBirt
263	It has also led a revolution in all-inclusive pricing, a trend followed this week by GM unit Vauxhall Motors and by Porsche AG with its new Boxster sports car	7	19	\DavidLawder	\JonathanBirt
264	The company splashed out $1 billion in 1994 to buy the U.S. household products group L&amp;F, maker of America's best-selling disinfectant, Lysol	24	19	\KirstinRidley	\JonathanBirt
265	However the name of any likely bidder remained a mystery	44	19	\SimonCowell	\JonathanBirt
266	Selfcare, which produces tests for pregnancy and infectious diseases, asked shareholders to back its plans to remove four members of the board, led by managing director Thomas Murphy, at an extraordinary meeting on Friday	44	19	\SimonCowell	\JonathanBirt
267	Selfcare, which produces tests for pregnancy and infectious diseases, asked shareholders to back its plans to remove four members of the board, led by managing director Thomas Murphy, at an extraordinary meeting on Friday	44	19	\SimonCowell	\JonathanBirt
268	But after weeks of charge and counter charge by both sides, the expected showdown in the unlikely setting of Dean's Yard, next to Westminster Abbey, turned out to be a sedate rubber stamping exercise	44	19	\SimonCowell	\JonathanBirt
269	"""It's quick, it's easy and I think people will find it fun,"" said ICI Decorative Paints international marketing director Chris Harris"	42	19	\SarahDavison	\JonathanBirt
270	Courtaulds has built on its presence in Hong Kong, where it has been represented since the 1950s, to the point where it is involved in every major market in the region	27	19	\LynneO'Donnell	\JonathanBirt
271	They said there were also signs that profit margins could have turned out better in the second half of the year than the first	4	19	\BernardHickey	\JonathanBirt
272	Milupa said it would hold a thorough investigation at the French plant where the milk was made, and added that production of the product had been suspended	48	19	\ToddNissen	\JonathanBirt
273	Milupa said it would hold a thorough investigation at the French plant where the milk was made, and added that production of the product had been suspended	48	19	\ToddNissen	\JonathanBirt
274	Daewoo, which likes to advertise itself as breaking the mould of car supply in Britain, launched itself through cleverly targeted publicity, including surveys of customer likes and dislikes	8	19	\EdnaFernandes	\JonathanBirt
275	Imperial, which was demerged from conglomerate Hanson Plc last October, said it was paying 168 million pounds ($272.7 million) for Netherlands-based Rizla International BV, as well as acquiring 17 million pounds of Rizla's debt	8	19	\EdnaFernandes	\JonathanBirt
276	Chief executive Gareth Davis told Reuters that Rizla, which employs more than 700 people in France, Belgium and Wales, would enhance the group's international expansion	8	19	\EdnaFernandes	\JonathanBirt
277	The development was welcomed by the industry, battling to compete with satellite operators such as BSkyB in television services and British Telecom in telephones	21	2	\KeithWeir	\AlexanderSmith
278	Thornton said relations with potential purchasers had been established but there were fairly few buyers in the world able to pay more than 200 million pounds ($324.6 million)	21	2	\KeithWeir	\AlexanderSmith
408	To those used to credit cards or in-store credit the rates may appear outrageously high. But credit companies point out they include major costs such as collection and insurance, are agreed in advance and do not rise if a payment is missed	10	2	\FumikoFujisaki	\AlexanderSmith
409	"""It has cost us a lot of money and a lot of wasted effort and time. What we would like to do is get on with running a property company,"" Thornton said in an interview"	12	2	\HeatherScoffield	\AlexanderSmith
410	"""The inevitable reconstruction of industries will continue. The pace will quicken,"" the second corporate financier said"	46	2	\TheresePoletti	\AlexanderSmith
411	"SMALL FIRMS CAN SELL PERSONALISED SERVICEBut while small firms will never compete for the truly global roles, there is still a place for the personalised localised service offered by boutiques. ""There's always a demand for that type of service,"" he added"	35	2	\NickLouth	\AlexanderSmith
412	This would mean regulators becoming increasingly sophisticated to cope with the changing business environment and having to co-operate more and more with their counterparts in other countries	35	2	\NickLouth	\AlexanderSmith
413	"""What is going on at the moment is being watched pretty closely. It is a fairly unique situation,"" a financial services lawyer said"	35	2	\NickLouth	\AlexanderSmith
414	There were calls from both politicians for interchange between industry and the regulators, so that the experiences on either side of the fence could be carried across by individuals	40	2	\RogerFillion	\AlexanderSmith
415	"""Generally speaking a forced sale of their assets would not gain anything in the short term,"" the first analyst said, adding that with rental growth starting to show through, it made sense to hold onto Greycoat's two largest properties"	22	2	\KevinDrawbaugh	\AlexanderSmith
416	Property consultant Knight Frank predicts that prime investment yields will be little changed in December from their levels in December 1996	32	2	\MatthewBunce	\AlexanderSmith
417	It said it planned a 300 million pounds investment programme over the next year on its Bass Taverns, converting many pubs to branded concept bars	47	2	\TimFarrand	\AlexanderSmith
418	Hambros reported pretax profits of 35.0 million pounds ($57.81 million) for the first half, compared with a 7.7 million pound loss for the same period in 1995	47	2	\TimFarrand	\AlexanderSmith
419	The major food companies are also looking to prune their brand portfolios to allow a more concentrated marketing push behind core brands with international appeal. This strategy will involve disposal programmes and small bolt-on acquisitions	47	2	\TimFarrand	\AlexanderSmith
420	"Mention moneylending to most Britons and their instant reaction is ""you mean loan-sharks!"""	6	2	\DarrenSchuettler	\AlexanderSmith
421	A similar quandary is reported to be exercising the minds of Deutsche Morgan Grenfell (DMG) officials in London and the Deutsche Bank hierarchy in Frankfurt	17	2	\JoeOrtiz	\AlexanderSmith
422	They may cost just over 10,000 pounds, but Martin Wadhams of LDC Racing Sailboats which produces the space-age looking dinghy says fitness, skill and the agility of crews are what counts	17	2	\JoeOrtiz	\AlexanderSmith
423	A high-profile purge at Deutsche Morgan Grenfell of any managers found to bear responsibility for failing to spot irregular dealings by former fund manager Peter Young is expected next week, banking sources said on Friday	17	2	\JoeOrtiz	\AlexanderSmith
424	But her view is not appreciated by all directors. One director of a quoted financial institution, recently told Reuters he was firmly against having his salary and pension details published not least because of the potential personal repurcussions	17	2	\JoeOrtiz	\AlexanderSmith
425	"Halifax members will be urged to vote ""as quickly as possible"" on the proposals and a special general meeting will be held in February. If members vote in favour, they will be sent details of share allocations in April or May"	17	2	\JoeOrtiz	\AlexanderSmith
426	TRADITIONAL VERSUS HIGH-TECH EQUIPMENTThe halls were full of the paraphernalia of boating, with stands displaying traditional brass clocks and barometers competing with the latest in high-tech satellite navigation equipment	41	2	\SamuelPerry	\AlexanderSmith
427	"""We learned a hell of a lot. But our business skills are better used in a big firm. The opportunities are better in a big firm,"" Luthy told Reuters recently"	30	2	\MarkBendeich	\AlexanderSmith
428	John Merricks, who with Ian Walker won a silver medal at the Atlanta Olympics in the 470 dinghy class, says boats need to keep evolving if sailing is to compete with other sports, even if this means his class is dropped after the 2000 games	33	2	\MichaelConnor	\AlexanderSmith
429	This is not the first time such uncertainty has surrounded Northern's future since it was privatised along with its 11 regional electricity company (REC) peers in 1990	16	2	\JoWinterbottom	\AlexanderSmith
430	CE officials were not immediately available for comment but Northern, which has fought off CE's approach from the beginning claiming it undervalued the company, refused to throw in the towel and urged shareholders who had indicated they would accept CE's 650 pence per share offer to think again	16	2	\JoWinterbottom	\AlexanderSmith
431	The smallest vessel on show, the aptly-named Tadpole, was six foot (two metres) long and costs 297 pounds	16	2	\JoWinterbottom	\AlexanderSmith
432	Any impact these problems may have had on Flemings' overall business was not, however, reflected in the interim dividend which rose to eight pence per share from seven pence	16	2	\JoWinterbottom	\AlexanderSmith
433	A row over a new executive bonus scheme at British power and water giant United Utilities in July fuelled public outrage at the million-pound packages that executive directors of monopoly utilities have managed to amass since privatisation	16	2	\JoWinterbottom	\AlexanderSmith
434	C&amp;W last month replaced BT in a major German alliance with diversified utility RWE that is seen as the main competitor to the dominant Deutsche Telekom as the German market is being liberalised	24	2	\KirstinRidley	\AlexanderSmith
435	"Some of the major privatisations planned for 1996 which failed to see the light of day were included in the report's 1997 estimates but the rest ""may be cancelled (or possibly postponed to much later years) or may be carried out through alternative methods, such as private sales"""	44	2	\SimonCowell	\AlexanderSmith
436	Among the insurance brokers, talk of consolidation as firms try to cut costs in the face of declining rates and overcapacity has been fuelled by recent mergers such as Lloyd Thompson and JIB. Willis Corroon and Sedgwick have long been rumoured to be possible merger or takeover candidates	44	2	\SimonCowell	\AlexanderSmith
437	But members eagerly expecting to find out how big a windfall they are likely to receive when they receive free shares will have to wait until January before getting any indication	44	2	\SimonCowell	\AlexanderSmith
438	The market is due to submit figures to Britain's Department of Trade and Industry next week in an annual solvency test, and file with the U.S. Treasury and New York Insurance Department later next month	44	2	\SimonCowell	\AlexanderSmith
439	"""The next generation of supervisors will have to evaluate far more complex information and make far more complex judgements,"" Large said"	31	2	\MartinWolk	\AlexanderSmith
440	And in August Jardine Fleming, a joint venture with Jardine Matheson, revealed a five-month probe by British and Hong Kong regulators into irregular trades by a former senior fund manager at Jardine Fleming Investment Management	42	2	\SarahDavison	\AlexanderSmith
441	He said the office would look at opportunities in Malaysia, the Philippines, Thailand and Indonesia but not in China. ($1=.5956 Pound)	42	2	\SarahDavison	\AlexanderSmith
442	His mother-in-law happens to be a shareholder and receives the company's annual report and accounts and he confided that she has since hinted she will re-write her will in favour of her other children	3	2	\BenjaminKangLim	\AlexanderSmith
443	"In August Provident Financial, the sector's biggest player, reported first half pre-tax profits of 47.5 million pounds. It said it had seen continued growth in home collected credit and was confident of a ""good result"" for the year as a whole"	4	2	\BernardHickey	\AlexanderSmith
444	The sunnier side of pleasure cruising was to the fore, but, topically, there were also tales of disaster and endeavour	8	2	\EdnaFernandes	\AlexanderSmith
445	Those who decide to sell will be offered a free-of-charge postal service for a limited period while those who keep them can chose between placing them in a nominee company or receiving a share certificate. The Halifax favours the nominee option	36	2	\PatriciaCommins	\AlexanderSmith
446	This group, which plans to offer about 20 channels, interactive services such as home shopping and home banking and information services, is called Digital Terrestrial Network (DTN)	21	24	\KeithWeir	\KirstinRidley
447	The BSkyB/Carlton/Granada/BBC venture plans three premium subscription channels showing top Hollywood movies and sports. Another 12 channels will be offered as part of a basic subscription package	21	24	\KeithWeir	\KirstinRidley
448	Financial sources in the Gulf said earlier this month that the prince had exclusive rights to negotiate a deal and that the price was $300 million. The prince's key western investments include stakes in New York's luxury Plaza hotel, the Four Seasons hotel group, banking group Citicorp and the Disneyland Paris theme park. ($1=.6165 Pound)	21	24	\KeithWeir	\KirstinRidley
449	"""He is the first choice and we're delighted to get him.""Wallace, who will join C&amp;W on February 1, is currently a director at leisure and media company Granada Group. But he brings with him useful experience in television from a stint on the board of satellite broadcaster BSkyB"	21	24	\KeithWeir	\KirstinRidley
450	"""We will consult with the regulators before we make any announcement about the definition of the tax, who it will apply to, its scale. And that won't happen until we're in government,"" an aide to Labour's finance spokesman Gordon Brown said"	2	24	\AlexanderSmith	\KirstinRidley
451	This could either lead to a full-scale merger or as a tie-up such as the one brokered between merchant bank Rothschild and ABN Amro, analysts say. ($1=.6385 Pound)	2	24	\AlexanderSmith	\KirstinRidley
452	One of the issues that determines which regulatory authority rules on the merger will be the turnover of the new company. However, any EC decision would be made in conjunction with advice from Oftel, the British telecoms regulator, and the DTI	2	24	\AlexanderSmith	\KirstinRidley
453	"""They are the group that has done the best (abroad) so far and in the UK, they have protected their position,"" he said"	2	24	\AlexanderSmith	\KirstinRidley
454	"""Oftel is to be congratulated -- it has developed a framework that will give UK telecoms and the country as a whole the necessary stability to enable people to plan for the future in a dynamic and competitive environment,"" it said"	2	24	\AlexanderSmith	\KirstinRidley
455	The second and third phase of funding is expected to include further equity and an element of debt finance, the source said	2	24	\AlexanderSmith	\KirstinRidley
456	A sector rating of nearly 21 -- against a market PE of around 15.25 -- underlines the growth prospects as well as the possibilities of takeovers or demergers that some investors see in some parts of the telecoms industry	2	24	\AlexanderSmith	\KirstinRidley
457	"""At the next review, I will expect companies to demonstrate improving standards for their customers and efficiency gains will allow prices to come down in real terms, despite continuing capital investments,"" he said"	10	24	\FumikoFujisaki	\KirstinRidley
458	But German human rights campaigner Monika Gerstendorfer noted that the Internet made it easier for groups, such as extreme political organisations, to communicate and gather forces worldwide	14	24	\JaneMacartney	\KirstinRidley
459	"""By early in the next century we will have completed transition to one of the most clear, flexible and customer-friendly numbering schemes in the world,"" he said"	37	24	\PeterHumphrey	\KirstinRidley
460	"""They (possible acquisition targets) are worth mainly between $2.0 million and $30 million...,"" Lomax said"	23	24	\KevinMorrison	\KirstinRidley
461	"The MMX chip will initially be offered with the 166 and 200 MHz Pentium processors, improving the performance of personal computer-based multimedia and high-speed communications with faster ""modems"" for speeding access to the Internet"	46	24	\TheresePoletti	\KirstinRidley
462	    Stories proliferate about pornography, sexual   violenceagainst women and children, bomb-making recipes, incitement to racial hatred and do-it-yourself fraud schemes that are available at various computer Web sites	46	24	\TheresePoletti	\KirstinRidley
